Module	Section	Sample Name	Source
FastQC	all_sections	SRR8668772_10K_subsample	/Users/abatugo/MBMI/CAMB7140/SRR8668772_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668773_10K_subsample	/Users/abatugo/MBMI/CAMB7140/SRR8668773_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668774_10K_subsample	/Users/abatugo/MBMI/CAMB7140/SRR8668774_10K_subsample_fastqc.zip
FastQC	all_sections	fastqc | SRR8668755	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668755_fastqc.zip
FastQC	all_sections	fastqc | SRR8668755_1M_subsample	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	fastqc | SRR8668756	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668756_fastqc.zip
FastQC	all_sections	fastqc | SRR8668757	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668757_fastqc.zip
FastQC	all_sections	fastqc | SRR8668758	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668758_fastqc.zip
FastQC	all_sections	fastqc | SRR8668759	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668759_fastqc.zip
FastQC	all_sections	fastqc | SRR8668769	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668769_fastqc.zip
FastQC	all_sections	fastqc | SRR8668771	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668771_fastqc.zip
FastQC	all_sections	fastqc | SRR8668772	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668772_fastqc.zip
FastQC	all_sections	fastqc | SRR8668773	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668773_fastqc.zip
FastQC	all_sections	fastqc | SRR8668774	/Users/abatugo/MBMI/CAMB7140/fastqc/SRR8668774_fastqc.zip
